x-axis,1,2,3
second,Volt,Volt,Volt
+99.1000E-03,+2.6875000E+00,+2.1437500E+00,+2.3312502E+00
+99.2000E-03,+2.9062500E+00,+2.3937500E+00,+2.6437502E+00
+99.3000E-03,+3.0937500E+00,+2.6437500E+00,+2.9250002E+00
+99.4000E-03,+3.2812500E+00,+2.9562500E+00,+3.1750002E+00
+99.5000E-03,+3.3750000E+00,+3.1750000E+00,+3.3937502E+00
+99.6000E-03,+3.5000000E+00,+3.3937500E+00,+3.5500002E+00
+99.7000E-03,+3.5312500E+00,+3.5812500E+00,+3.7375002E+00
+99.8000E-03,+3.5000000E+00,+3.7062500E+00,+3.8000002E+00
+99.9000E-03,+3.4375000E+00,+3.7687500E+00,+3.8000002E+00
+100.0000E-03,+3.2500000E+00,+3.7687500E+00,+3.8000002E+00
+100.1000E-03,+3.0937500E+00,+3.7062500E+00,+3.5812502E+00
+100.2000E-03,+2.8750000E+00,+3.5500000E+00,+3.3937502E+00
+100.3000E-03,+2.6562500E+00,+3.3312500E+00,+3.1125002E+00
+100.4000E-03,+2.4062500E+00,+3.0812500E+00,+2.8625002E+00
+100.5000E-03,+2.1562500E+00,+2.7687500E+00,+2.5187502E+00
+100.6000E-03,+1.9687500E+00,+2.4562500E+00,+2.2062502E+00
+100.7000E-03,+1.8437500E+00,+2.1750000E+00,+1.9250002E+00
+100.8000E-03,+1.7500000E+00,+1.9250000E+00,+1.7062502E+00
+100.9000E-03,+1.6875000E+00,+1.7062500E+00,+1.5187502E+00
+101.0000E-03,+1.7187500E+00,+1.5187500E+00,+1.4562502E+00
+101.1000E-03,+1.8125000E+00,+1.4562500E+00,+1.4250002E+00
+101.2000E-03,+2.0000000E+00,+1.4875000E+00,+1.5500002E+00
+101.3000E-03,+2.2187500E+00,+1.5500000E+00,+1.7062502E+00
+101.4000E-03,+2.4687500E+00,+1.7062500E+00,+1.9250002E+00
+101.5000E-03,+2.7500000E+00,+1.9875000E+00,+2.2375002E+00
+101.6000E-03,+2.9687500E+00,+2.3000000E+00,+2.5812502E+00
+101.7000E-03,+3.2187500E+00,+2.5812500E+00,+2.9250002E+00
+101.8000E-03,+3.3750000E+00,+2.9562500E+00,+3.2687502E+00
+101.9000E-03,+3.5312500E+00,+3.3000000E+00,+3.5500002E+00
+102.0000E-03,+3.5625000E+00,+3.5500000E+00,+3.7687502E+00
+102.1000E-03,+3.5000000E+00,+3.7687500E+00,+3.8937502E+00
+102.2000E-03,+3.3750000E+00,+3.8625000E+00,+3.9250002E+00
+102.3000E-03,+3.1875000E+00,+3.8312500E+00,+3.8312502E+00
+102.4000E-03,+2.9375000E+00,+3.7375000E+00,+3.6125002E+00
+102.5000E-03,+2.6562500E+00,+3.5500000E+00,+3.3000002E+00
+102.6000E-03,+2.4062500E+00,+3.2687500E+00,+3.0187502E+00
+102.7000E-03,+2.1562500E+00,+2.9250000E+00,+2.6125002E+00
+102.8000E-03,+1.9062500E+00,+2.5500000E+00,+2.2062502E+00
+102.9000E-03,+1.7500000E+00,+2.1750000E+00,+1.8937502E+00
+103.0000E-03,+1.6562500E+00,+1.8625000E+00,+1.6125002E+00
+103.1000E-03,+1.7187500E+00,+1.6125000E+00,+1.3937502E+00
+103.2000E-03,+1.8437500E+00,+1.4250000E+00,+1.3312502E+00
+103.3000E-03,+2.0000000E+00,+1.3625000E+00,+1.3625002E+00
+103.4000E-03,+2.2500000E+00,+1.4562500E+00,+1.5500002E+00
+103.5000E-03,+2.5625000E+00,+1.6437500E+00,+1.8937502E+00
+103.6000E-03,+2.8437500E+00,+1.8937500E+00,+2.1750002E+00
+103.7000E-03,+3.0937500E+00,+2.2687500E+00,+2.6125002E+00
